algorithm,position_id,phase,depth,nodes,time_ms,nps,ttfm_ms,best_move,score,branching_factor,stability
Pure Alpha-Beta,pos_1,endgame,8,11104347,2000.02,5552173,0.07,f7g7,-24,7.10,0
Full Alpha-Beta,pos_1,endgame,17,6660160,2000.10,3330080,0.43,f7g7,23,2.21,0
MTD(f),pos_1,endgame,9,8327211,2000.54,4163605,0.09,f7g7,-3,9.76,0
NegaScout,pos_1,endgame,8,9773161,2000.05,4886580,0.03,f7g7,-24,6.51,0
MCTS,pos_1,endgame,19,3250436,8933.14,363868,1001.57,f7g7,10,0.93,0
Classic MCTS,pos_1,endgame,15,113309,2008.45,56428,1026.31,f7g7,1,1.00,0
Pure Alpha-Beta,pos_2,endgame,7,11956311,2000.38,5978155,0.02,b2c3,122,8.36,0
Full Alpha-Beta,pos_2,endgame,15,6111389,2000.07,3055694,0.03,f1d1,131,2.53,5
MTD(f),pos_2,endgame,8,6590538,2001.19,3293622,0.39,f1d1,144,6.72,1
NegaScout,pos_2,endgame,8,11485225,2000.37,5742612,0.03,f1d1,144,6.76,1
MCTS,pos_2,endgame,19,2162393,2079.56,1040112,1004.14,b2c3,132,0.53,0
Classic MCTS,pos_2,endgame,15,87175,2621.25,33260,1001.37,f1a1,7,0.78,1
Pure Alpha-Beta,pos_3,endgame,8,12353615,2000.75,6176807,0.08,c5f8,-15,5.09,4
Full Alpha-Beta,pos_3,endgame,17,6090838,2000.09,3045419,0.05,c5e7,-10,2.21,5
MTD(f),pos_3,endgame,10,6627400,2000.60,3313700,0.05,c5e7,-12,4.63,5
NegaScout,pos_3,endgame,8,10330185,2000.16,5165092,0.06,c5f8,-15,5.18,4
MCTS,pos_3,endgame,19,4552058,2267.91,2007965,1004.22,c5f8,-6,1.26,0
Classic MCTS,pos_3,endgame,15,120672,2005.92,60185,1021.47,f7f5,-12,1.10,0
Pure Alpha-Beta,pos_4,endgame,8,12374108,2000.12,6187054,0.02,a4d1,-260,7.72,3
Full Alpha-Beta,pos_4,endgame,15,6529127,2000.36,3264563,0.04,a1b1,-267,2.72,2
MTD(f),pos_4,endgame,8,7725105,2000.61,3862552,1.27,a1b1,-261,6.88,2
NegaScout,pos_4,endgame,8,11366471,2000.26,5683235,0.02,a4d1,-260,6.59,3
MCTS,pos_4,endgame,19,3046923,2238.73,1361449,1003.36,a4d1,-195,1.37,0
Classic MCTS,pos_4,endgame,15,99157,2005.64,49454,1036.20,e3e4,0,1.13,0
Pure Alpha-Beta,pos_5,endgame,7,9957468,2000.33,4978734,0.03,e2e5,17,7.46,0
Full Alpha-Beta,pos_5,endgame,14,5865548,2001.07,2931308,0.15,e2e5,3,2.26,0
MTD(f),pos_5,endgame,9,8872013,2000.59,4436006,0.87,e2e5,13,13.25,0
NegaScout,pos_5,endgame,8,11751507,2000.21,5875753,0.03,e2e5,6,6.17,0
MCTS,pos_5,endgame,19,3722686,2187.86,1702188,1001.62,e2e5,4,0.97,0
Classic MCTS,pos_5,endgame,15,108194,2005.62,53962,1027.27,e2e5,0,1.23,1
Pure Alpha-Beta,pos_6,endgame,8,9863226,2000.03,4931613,0.01,f5e7,20,10.71,0
Full Alpha-Beta,pos_6,endgame,12,5922965,2001.54,2960002,0.01,f5e7,16,3.62,0
MTD(f),pos_6,endgame,8,7295048,2000.14,3647524,0.01,f5e7,20,19.74,0
NegaScout,pos_6,endgame,8,10928156,2000.31,5464078,0.01,f5e7,20,10.16,0
MCTS,pos_6,endgame,19,3077386,2235.43,1376906,1003.17,f5e7,-25,1.10,0
Classic MCTS,pos_6,endgame,15,110648,2004.30,55213,1009.57,f8e8,0,1.07,1
Pure Alpha-Beta,pos_7,middlegame,8,9486428,2000.73,4743214,0.01,g1h2,3,9.09,2
Full Alpha-Beta,pos_7,middlegame,13,5431432,2000.21,2715716,0.03,g1h2,1,3.38,2
MTD(f),pos_7,middlegame,9,7368775,2000.07,3684387,0.03,g1h2,0,4.73,2
NegaScout,pos_7,middlegame,8,9146430,2000.62,4573215,0.01,g1h2,3,9.14,2
MCTS,pos_7,middlegame,19,3035908,2226.15,1363840,1000.54,e2f1,7,1.11,0
Classic MCTS,pos_7,middlegame,15,128740,2005.62,64209,1026.46,g1h2,3,1.00,1
Pure Alpha-Beta,pos_8,endgame,9,12697661,2000.48,6348830,0.01,h4h5,-50,5.88,3
Full Alpha-Beta,pos_8,endgame,16,4915311,2000.45,2457655,0.02,h4h5,-73,2.44,3
MTD(f),pos_8,endgame,9,9609295,2000.18,4804647,0.03,h4h5,-50,21.97,3
NegaScout,pos_8,endgame,9,11825205,2000.02,5912602,0.02,h4h5,-50,5.65,3
MCTS,pos_8,endgame,19,3901000,2171.81,1796867,1004.52,e3e5,-87,1.09,0
Classic MCTS,pos_8,endgame,15,106429,2005.36,53081,1005.95,e3e5,0,1.16,1
Pure Alpha-Beta,pos_9,endgame,8,12140665,2000.22,6070332,0.03,h2g3,12,5.83,3
Full Alpha-Beta,pos_9,endgame,16,6201477,2000.04,3100738,0.20,h2g3,-30,3.10,1
MTD(f),pos_9,endgame,9,7733300,2000.43,3866650,0.10,h2g3,-6,15.71,1
NegaScout,pos_9,endgame,8,11718775,2000.32,5859387,0.04,h2g3,12,5.39,3
MCTS,pos_9,endgame,19,3421639,2222.29,1539891,1003.74,h2g3,-18,1.04,0
Classic MCTS,pos_9,endgame,15,113986,2005.43,56850,1011.88,g2g3,5,1.13,0
Pure Alpha-Beta,pos_10,endgame,8,11042912,2000.80,5521456,0.04,e8f6,-91,5.94,0
Full Alpha-Beta,pos_10,endgame,20,6819988,2000.70,3409994,0.06,e8f6,-120,2.03,0
MTD(f),pos_10,endgame,10,6213722,2000.84,3106861,0.04,e8f6,-94,3.77,0
NegaScout,pos_10,endgame,8,11423833,2000.62,5711916,0.03,e8f6,-91,5.99,0
MCTS,pos_10,endgame,19,3496213,2176.53,1606715,1005.09,e8f6,-73,1.27,0
Classic MCTS,pos_10,endgame,15,108757,2009.47,54134,1025.55,g7f8,3,1.16,0
Pure Alpha-Beta,pos_11,endgame,9,13406305,2000.20,6703152,0.01,a7b6,-83,7.68,0
Full Alpha-Beta,pos_11,endgame,18,6582419,2000.59,3291209,0.01,a7b6,-46,3.72,0
MTD(f),pos_11,endgame,10,8089640,2000.66,4044820,0.01,a7b6,-78,17.14,0
NegaScout,pos_11,endgame,9,13406282,2000.31,6703141,0.01,a7b6,-83,7.65,0
MCTS,pos_11,endgame,19,3844068,2223.43,1729225,1003.39,a7b6,-82,0.95,0
Classic MCTS,pos_11,endgame,15,122987,2009.39,61218,1015.57,a7b6,-1,1.05,0
Pure Alpha-Beta,pos_12,endgame,7,11636756,2000.15,5818378,0.01,b8b4,13,9.74,4
Full Alpha-Beta,pos_12,endgame,16,5898313,2000.95,2949156,0.01,h7g6,-8,2.81,5
MTD(f),pos_12,endgame,9,7700574,2000.56,3850287,0.28,h7g6,-3,12.01,5
NegaScout,pos_12,endgame,8,12152939,2000.23,6076469,0.01,h7g6,5,8.39,5
MCTS,pos_12,endgame,19,3050554,2220.87,1374123,1007.09,b8b4,23,1.17,0
Classic MCTS,pos_12,endgame,15,108282,2015.01,53737,1009.39,b8b4,12,1.22,1
Pure Alpha-Beta,pos_13,endgame,8,10899582,2001.38,5447067,0.01,f3e3,30,9.34,2
Full Alpha-Beta,pos_13,endgame,18,5873845,2000.65,2936922,0.12,c4a2,5,2.54,3
MTD(f),pos_13,endgame,10,6987823,2001.18,3492165,0.28,f3e3,7,5.75,2
NegaScout,pos_13,endgame,8,11161688,2000.21,5580844,0.01,f3e3,30,9.80,2
MCTS,pos_13,endgame,19,3853680,2206.42,1746908,1003.56,f3e3,22,1.00,0
Classic MCTS,pos_13,endgame,15,98982,2017.85,49073,1022.54,e1a5,3,1.16,0
Pure Alpha-Beta,pos_14,endgame,10,16777270,2000.29,8388635,0.01,b4c3,-95,4.61,0
Full Alpha-Beta,pos_14,endgame,22,8261709,2000.37,4130854,0.02,b4c3,-118,2.09,0
MTD(f),pos_14,endgame,12,8441976,2000.69,4220988,0.24,b4c3,-98,2.70,0
NegaScout,pos_14,endgame,10,15708215,2000.52,7854107,0.01,b4c3,-95,4.42,0
MCTS,pos_14,endgame,19,3784119,2246.13,1684825,1003.74,b4c3,-74,0.90,0
Classic MCTS,pos_14,endgame,16,143016,2028.18,70520,1028.32,b4c3,-1,1.08,0
Pure Alpha-Beta,pos_15,endgame,10,12902499,2000.66,6451249,0.01,e2d1,-5,4.79,0
Full Alpha-Beta,pos_15,endgame,18,7123071,2000.39,3561535,0.01,e2d1,6,2.70,0
MTD(f),pos_15,endgame,11,6963224,2000.17,3481612,0.02,e2d1,-6,6.58,0
NegaScout,pos_15,endgame,10,12746810,2000.39,6373405,0.01,e2d1,-5,4.58,0
MCTS,pos_15,endgame,19,3500714,2222.61,1575478,1004.03,e2d1,-1,1.02,0
Classic MCTS,pos_15,endgame,15,105248,2033.89,51769,1007.00,a2a4,1,1.26,0
Pure Alpha-Beta,pos_16,endgame,9,15638612,2000.59,7819306,0.01,c4b5,144,5.27,3
Full Alpha-Beta,pos_16,endgame,19,6418566,2000.13,3209283,0.03,d1d6,159,2.22,2
MTD(f),pos_16,endgame,11,8212577,2000.49,4106288,0.17,d1d6,159,5.27,2
NegaScout,pos_16,endgame,9,13611103,2000.20,6805551,0.02,c4b5,144,4.71,3
MCTS,pos_16,endgame,19,4141858,2211.36,1873296,1005.32,c4b5,114,1.02,0
Classic MCTS,pos_16,endgame,15,101198,2043.27,49534,1010.37,c4b5,6,1.17,0
Pure Alpha-Beta,pos_17,endgame,7,13561889,2000.30,6780944,0.01,f7f6,112,10.18,0
Full Alpha-Beta,pos_17,endgame,17,7041072,2000.07,3520536,0.07,f7f6,161,2.35,0
MTD(f),pos_17,endgame,11,10190896,2000.55,5095448,0.13,f7f6,145,17.78,0
NegaScout,pos_17,endgame,7,12754998,2000.27,6377499,0.01,f7f6,112,9.72,0
MCTS,pos_17,endgame,19,4435780,2239.10,1981143,1003.89,f7f6,164,1.00,0
Classic MCTS,pos_17,endgame,16,160053,2039.50,78495,1029.40,f7f6,4,1.07,0
Pure Alpha-Beta,pos_18,endgame,7,12537950,2000.21,6268975,0.01,e3e5,-192,9.03,0
Full Alpha-Beta,pos_18,endgame,17,6512721,2001.38,3254733,0.02,e3e5,-126,2.30,2
MTD(f),pos_18,endgame,8,9924666,2000.38,4962333,0.32,e3e5,-176,8.86,0
NegaScout,pos_18,endgame,8,13213762,2000.54,6606881,0.01,e3e5,-176,6.92,0
MCTS,pos_18,endgame,19,3582275,2245.00,1596379,1000.53,e3e5,-72,1.04,0
Classic MCTS,pos_18,endgame,15,117117,2036.06,57523,1008.67,h5h4,0,1.22,0
Pure Alpha-Beta,pos_19,endgame,7,10977407,2000.68,5488703,0.02,g2f3,-68,7.91,4
Full Alpha-Beta,pos_19,endgame,14,4366385,2001.01,2182101,0.05,g2f3,-47,2.55,2
MTD(f),pos_19,endgame,8,6864940,2000.29,3432470,1.30,g2f3,-54,3.90,4
NegaScout,pos_19,endgame,7,10936388,2000.23,5468194,0.03,g2f3,-68,7.20,4
MCTS,pos_19,endgame,19,2802178,2235.20,1253770,1000.45,d1e1,-125,1.11,0
Classic MCTS,pos_19,endgame,15,81614,2029.75,40223,1016.08,h2h3,-6,1.00,1
Pure Alpha-Beta,pos_20,endgame,8,12394581,2000.48,6197290,0.01,b1b3,-29,6.31,2
Full Alpha-Beta,pos_20,endgame,15,5583079,2000.90,2791539,0.02,b1b3,4,2.69,1
MTD(f),pos_20,endgame,9,7544918,2001.13,3770573,0.03,b1b3,-30,16.55,2
NegaScout,pos_20,endgame,9,11092072,2000.11,5546036,0.01,b1b3,-30,5.70,2
MCTS,pos_20,endgame,19,3868391,2231.49,1733926,1006.00,b1b3,-15,0.96,0
Classic MCTS,pos_20,endgame,15,97043,2031.33,47780,1027.42,c3b3,9,1.18,1
Pure Alpha-Beta,pos_21,middlegame,7,9457820,2000.10,4728910,0.03,e2f3,-34,10.48,0
Full Alpha-Beta,pos_21,middlegame,14,5685403,2000.78,2842701,0.11,e2f3,-26,2.62,0
MTD(f),pos_21,middlegame,10,8294499,2000.70,4147249,0.38,e2f3,-33,3.71,0
NegaScout,pos_21,middlegame,7,9900175,2000.31,4950087,0.04,e2f3,-34,8.77,0
MCTS,pos_21,middlegame,19,4123265,2230.23,1848997,1005.02,e2f3,63,0.99,0
