algorithm,position_id,phase,depth,nodes,time_ms,nps,ttfm_ms,best_move,score,branching_factor,stability
Pure Alpha-Beta,pos_1,opening,8,8044692,2001.07,4020335,0.08,b5c6,42,7.89,0
Full Alpha-Beta,pos_1,opening,16,4296878,2002.91,2146292,0.13,b5c6,21,2.90,0
MTD(f),pos_1,opening,8,4395088,2000.64,2197544,0.47,b5c6,42,19.90,0
NegaScout,pos_1,opening,8,8532075,2000.66,4266037,0.01,b5c6,42,7.18,0
MCTS,pos_1,opening,19,2041265,6184.61,330088,1006.46,b5c6,11,0.67,0
Classic MCTS,pos_1,opening,15,54717,2013.68,27181,1041.62,g2g3,9,0.95,0
Pure Alpha-Beta,pos_2,opening,7,7122989,2000.53,3561494,0.19,b1c3,10,5.93,0
Full Alpha-Beta,pos_2,opening,15,4718832,2001.16,2358236,0.18,b1c3,12,2.26,0
MTD(f),pos_2,opening,8,5144688,2001.11,2571058,0.05,b1c3,21,13.67,0
NegaScout,pos_2,opening,7,7778350,2000.22,3889175,0.32,b1c3,10,4.63,0
MCTS,pos_2,opening,19,2119017,6081.96,348465,1005.80,b1c3,31,1.02,0
Classic MCTS,pos_2,opening,15,51889,2006.01,25866,1050.56,h2h4,6,0.84,0
Pure Alpha-Beta,pos_3,opening,6,6250568,2000.46,3125284,0.02,b1c3,75,10.39,1
Full Alpha-Beta,pos_3,opening,14,4673609,2001.62,2335636,0.03,e1g1,38,4.01,1
MTD(f),pos_3,opening,6,3907663,2003.07,1950905,0.41,b1c3,75,43.61,1
NegaScout,pos_3,opening,7,7049332,2000.30,3524666,0.02,b1c3,45,8.66,1
MCTS,pos_3,opening,19,2837508,2689.86,1055227,1006.13,b1c3,88,1.56,1
Classic MCTS,pos_3,opening,15,61543,2085.81,29517,1023.34,f3e5,8,0.88,0
Pure Alpha-Beta,pos_4,opening,6,6250607,2001.29,3123741,0.04,b1c3,25,16.62,0
Full Alpha-Beta,pos_4,opening,14,4219018,2001.23,2108454,0.03,b1c3,5,3.54,0
MTD(f),pos_4,opening,6,4112464,2000.61,2056232,0.20,b1c3,25,22.45,0
NegaScout,pos_4,opening,6,6004862,2000.47,3002431,0.03,b1c3,25,12.01,0
MCTS,pos_4,opening,19,2414183,2147.06,1124444,1002.34,e1g1,33,1.32,1
Classic MCTS,pos_4,opening,15,50655,2036.88,24879,1017.31,h2h4,9,1.01,0
Pure Alpha-Beta,pos_5,opening,6,5947477,2000.67,2973738,0.03,b1c3,9,13.15,0
Full Alpha-Beta,pos_5,opening,15,4174086,2001.11,2086000,0.04,d2d3,6,2.52,1
