algorithm,position_id,phase,depth,nodes,time_ms,nps,ttfm_ms,best_move,score,branching_factor,stability
Pure Alpha-Beta,pos_1,opening,7,26767457,5000.30,5353491,0.22,c1b2,-10,9.36,1
Full Alpha-Beta,pos_1,opening,18,13795594,5000.24,2759118,0.75,c1b2,-7,2.74,1
MTD(f),pos_1,opening,8,13607008,5000.57,2721401,0.07,c1b2,10,11.29,1
NegaScout,pos_1,opening,8,26488978,5000.57,5297795,0.01,c1b2,10,8.45,1
MCTS,pos_1,opening,20,6125615,32122.83,190698,1000.16,c1b2,11,0.81,0
Classic MCTS,pos_1,opening,16,180303,5031.89,35838,1022.86,f1g2,4,1.06,3
Pure Alpha-Beta,pos_2,opening,8,24080497,5000.08,4816099,0.02,b1c3,30,8.86,0
Full Alpha-Beta,pos_2,opening,16,12726523,5000.64,2545304,0.04,b1c3,4,4.28,2
MTD(f),pos_2,opening,8,13860916,5000.97,2772183,0.11,b1c3,30,12.63,0
NegaScout,pos_2,opening,8,25374805,5000.18,5074961,0.02,b1c3,30,7.64,0
MCTS,pos_2,opening,20,5469544,18595.92,294140,1011.47,g1f3,9,1.25,1
Classic MCTS,pos_2,opening,16,178996,5059.42,35381,1049.34,d1f3,3,1.03,1
Pure Alpha-Beta,pos_3,opening,7,14663740,5001.13,2932161,0.01,b1c3,0,9.31,0
Full Alpha-Beta,pos_3,opening,17,13361447,5000.07,2672289,0.02,c1d2,5,2.50,2
MTD(f),pos_3,opening,8,13013057,5001.79,2602090,0.04,b1c3,15,11.69,0
NegaScout,pos_3,opening,8,24600687,5000.19,4920137,0.01,b1c3,15,8.01,0
MCTS,pos_3,opening,20,4190809,7844.65,534269,1011.74,g1f3,9,1.99,0
Classic MCTS,pos_3,opening,16,179346,5074.75,35346,1010.09,e3e4,5,1.05,2
Pure Alpha-Beta,pos_4,opening,8,23810220,5000.46,4762044,0.10,e4d5,70,5.81,1
Full Alpha-Beta,pos_4,opening,17,12693694,5001.26,2538231,0.16,e4d5,55,2.36,1
MTD(f),pos_4,opening,7,12488844,5000.98,2497768,0.60,e4d5,25,7.36,1
NegaScout,pos_4,opening,8,28258365,5000.44,5651673,0.16,e4d5,70,4.90,1
MCTS,pos_4,opening,20,6515312,6284.25,1036809,1003.22,e4d5,54,1.75,0
Classic MCTS,pos_4,opening,16,163012,5096.69,31988,1025.90,f4e5,9,1.02,0
Pure Alpha-Beta,pos_5,opening,7,22880309,5000.35,4576061,0.02,b1d2,0,9.91,1
Full Alpha-Beta,pos_5,opening,17,12841196,5000.15,2568239,0.16,c3c4,5,3.64,2
MTD(f),pos_5,opening,8,12144723,5001.31,2428458,0.11,g1f3,30,11.04,0
NegaScout,pos_5,opening,8,29020220,5000.33,5804044,0.01,b1d2,30,7.97,1
MCTS,pos_5,opening,21,7932997,6619.96,1198518,1000.32,b1d2,23,1.18,0
Classic MCTS,pos_5,opening,16,179543,5081.73,35336,1011.15,a3a4,3,1.04,1
Pure Alpha-Beta,pos_6,opening,8,25829476,5000.09,5165895,0.02,b1d2,0,10.07,2
Full Alpha-Beta,pos_6,opening,17,13713605,5000.30,2742721,0.03,b2b4,5,3.53,1
MTD(f),pos_6,opening,8,13271158,5000.11,2654231,0.17,b1d2,0,11.69,0
NegaScout,pos_6,opening,8,29655163,5000.89,5931032,0.02,b1d2,0,7.25,2
MCTS,pos_6,opening,20,10202689,6200.03,1645595,1003.18,g1e2,9,1.03,0
Classic MCTS,pos_6,opening,16,171731,5287.83,32481,1041.99,b1d2,6,1.04,1
Pure Alpha-Beta,pos_7,opening,7,24514632,5000.20,4902926,0.01,b1c3,5,9.42,0
Full Alpha-Beta,pos_7,opening,18,13603193,5000.92,2720638,0.01,f2f4,15,2.47,1
MTD(f),pos_7,opening,8,12488740,5001.28,2497248,0.08,b1c3,25,10.66,0
NegaScout,pos_7,opening,8,24682601,5000.07,4936520,0.01,b1c3,25,8.38,0
MCTS,pos_7,opening,21,8263590,6531.23,1265287,1000.39,g1f3,17,1.02,1
Classic MCTS,pos_7,opening,16,177910,5014.69,35482,1031.10,g1f3,5,1.05,3
Pure Alpha-Beta,pos_8,opening,8,25186500,5000.75,5037300,0.01,b1d2,40,8.60,1
Full Alpha-Beta,pos_8,opening,16,13168887,5001.08,2633250,0.03,g1f3,22,2.41,0
MTD(f),pos_8,opening,8,12820556,5001.36,2563598,0.16,g1f3,40,12.61,0
NegaScout,pos_8,opening,8,26595428,5000.68,5319085,0.02,b1d2,40,7.31,1
MCTS,pos_8,opening,21,8426054,6489.69,1298513,1002.37,g1e2,9,0.92,0
Classic MCTS,pos_8,opening,16,175252,5010.41,34980,1008.24,b2b4,2,1.07,2
Pure Alpha-Beta,pos_9,opening,7,19812402,5000.28,3962480,0.01,b1c3,-20,9.21,0
Full Alpha-Beta,pos_9,opening,18,13594832,5001.07,2718422,0.02,g1f3,-7,2.89,1
MTD(f),pos_9,opening,8,12296288,5000.70,2459257,0.06,b1c3,0,27.94,0
NegaScout,pos_9,opening,8,26648656,5000.35,5329731,0.01,b1c3,0,8.11,0
MCTS,pos_9,opening,21,8732014,6289.40,1388458,1002.35,b1c3,7,0.94,0
Classic MCTS,pos_9,opening,16,166047,5009.26,33149,1029.50,c2c4,4,1.04,3
Pure Alpha-Beta,pos_10,opening,8,23978113,5000.02,4795622,0.01,d4c5,65,7.43,0
Full Alpha-Beta,pos_10,opening,18,13418713,5000.35,2683742,0.01,d4c5,55,2.29,0
MTD(f),pos_10,opening,8,13144144,5001.31,2628303,0.22,d4c5,65,19.01,0
NegaScout,pos_10,opening,8,24752202,5000.12,4950440,0.44,d4c5,65,7.07,0
MCTS,pos_10,opening,20,8302374,6284.70,1321192,1003.16,d4c5,59,0.88,0
Classic MCTS,pos_10,opening,16,166873,5008.92,33321,1041.89,g3g4,6,1.05,4
Pure Alpha-Beta,pos_11,opening,8,24768686,5000.50,4953737,0.01,b1c3,-5,8.26,0
Full Alpha-Beta,pos_11,opening,18,14012599,5000.61,2802519,0.02,b1c3,-15,2.20,0
MTD(f),pos_11,opening,8,12578937,5000.68,2515787,0.04,b1c3,-5,18.52,0
NegaScout,pos_11,opening,8,27115599,5000.21,5423119,0.01,b1c3,-5,7.66,0
MCTS,pos_11,opening,20,8390185,6141.27,1366257,1004.72,g1f3,-8,0.95,0
Classic MCTS,pos_11,opening,16,177924,5008.78,35527,1047.42,e1e2,8,1.03,0
Pure Alpha-Beta,pos_12,opening,8,25194601,5000.25,5038920,0.08,d2d4,0,8.14,1
Full Alpha-Beta,pos_12,opening,16,12841222,5000.43,2568244,0.05,d2d4,-5,3.45,2
MTD(f),pos_12,opening,8,14041226,5001.23,2807683,0.08,d2d4,0,17.63,1
NegaScout,pos_12,opening,8,27013238,5000.28,5402647,0.05,d2d4,0,6.56,1
MCTS,pos_12,opening,20,7523364,6152.26,1222913,1000.67,d2d3,-40,1.12,1
Classic MCTS,pos_12,opening,16,175618,5009.04,35060,1040.05,f1e2,5,1.03,2
Pure Alpha-Beta,pos_13,opening,8,24510552,5001.24,4901130,0.02,f1d3,50,10.00,4
Full Alpha-Beta,pos_13,opening,17,12632410,5001.45,2525976,0.03,f3f4,15,6.11,7
MTD(f),pos_13,opening,8,13254696,5000.96,2650939,0.23,f1d3,50,15.13,4
NegaScout,pos_13,opening,8,24342651,5001.12,4867556,0.02,f1d3,50,7.64,4
MCTS,pos_13,opening,20,7542810,6013.10,1254417,1002.29,b1d2,27,1.08,1
Classic MCTS,pos_13,opening,16,174851,5009.45,34907,1035.54,b2b4,4,1.05,3
Pure Alpha-Beta,pos_14,opening,8,24391853,5000.84,4878370,0.02,g1f3,-16,8.75,2
Full Alpha-Beta,pos_14,opening,17,13373563,5000.70,2674712,0.02,b1c3,-21,2.77,2
MTD(f),pos_14,opening,8,14262395,5000.93,2852479,0.07,g1f3,-16,20.76,1
NegaScout,pos_14,opening,8,25215105,5000.09,5043021,0.03,g1f3,-16,7.23,2
MCTS,pos_14,opening,20,6471247,6008.49,1077105,1001.73,g1f3,-21,0.92,0
Classic MCTS,pos_14,opening,16,165621,5101.64,32468,1011.68,h1g2,7,1.04,2
Pure Alpha-Beta,pos_15,opening,8,23232665,5000.44,4646533,0.07,f2f4,45,8.54,5
Full Alpha-Beta,pos_15,opening,16,12861693,5001.09,2571824,0.12,c1b2,18,3.03,4
MTD(f),pos_15,opening,7,13258884,5000.59,2651776,1.02,b1c3,5,7.44,4
NegaScout,pos_15,opening,8,24567900,5000.61,4913580,0.11,f2f4,45,6.57,5
MCTS,pos_15,opening,20,6089141,5813.23,1047504,1000.14,g1f3,0,1.02,0
Classic MCTS,pos_15,opening,16,163324,5080.70,32150,1013.15,g1f3,4,1.05,4
Pure Alpha-Beta,pos_16,opening,8,25124920,5000.02,5024984,0.02,f4e5,65,6.57,5
Full Alpha-Beta,pos_16,opening,17,13299943,5001.09,2659456,0.03,f4e5,35,2.49,8
MTD(f),pos_16,opening,8,13647943,5000.44,2729588,0.22,g1f3,65,10.36,3
NegaScout,pos_16,opening,9,25403541,5000.05,5080708,0.03,b1c3,35,6.29,6
MCTS,pos_16,opening,20,7053747,5814.40,1213234,1000.41,g1f3,41,0.95,0
Classic MCTS,pos_16,opening,16,174577,5009.29,34852,1046.13,a1a2,5,1.04,1
Pure Alpha-Beta,pos_17,opening,8,22061083,5000.27,4412216,0.10,c4d5,63,6.26,1
Full Alpha-Beta,pos_17,opening,18,12800239,5000.88,2560047,0.14,c4d5,33,2.43,1
MTD(f),pos_17,opening,8,13402133,5001.45,2679890,0.78,c4d5,63,5.51,1
NegaScout,pos_17,opening,9,23072934,5000.84,4614586,0.14,c4d5,38,5.24,1
MCTS,pos_17,opening,20,7581175,5754.76,1317548,1000.67,c4d5,41,0.90,0
Classic MCTS,pos_17,opening,16,170491,5010.98,34030,1008.02,g1e2,6,1.07,2
Pure Alpha-Beta,pos_18,opening,8,26730678,5000.30,5346135,0.01,b1c3,-5,8.31,0
Full Alpha-Beta,pos_18,opening,17,14553286,5001.19,2910075,0.01,b1c3,-5,2.17,0
MTD(f),pos_18,opening,8,11784296,5000.29,2356859,0.04,b1c3,-5,12.78,0
NegaScout,pos_18,opening,8,29913184,5000.41,5982636,0.01,b1c3,-5,7.53,0
MCTS,pos_18,opening,20,6236063,5915.51,1054279,1002.51,g1e2,-12,0.99,2
Classic MCTS,pos_18,opening,16,180045,5006.66,35965,1017.01,c2c4,6,1.06,1
Pure Alpha-Beta,pos_19,opening,8,20869295,5000.39,4173859,0.15,d2d3,-10,5.43,3
Full Alpha-Beta,pos_19,opening,17,12984595,5000.12,2596919,0.12,d2d3,-20,3.11,3
