algorithm,position_id,phase,depth,nodes,time_ms,nps,ttfm_ms,best_move,score,branching_factor,stability
Pure Alpha-Beta,pos_1,opening,7,2060359,500.49,4120718,0.09,c4d5,-40,8.40,1
Full Alpha-Beta,pos_1,opening,13,1163388,500.48,2326776,0.07,g1f3,-19,2.85,2
MTD(f),pos_1,opening,6,1060972,501.40,2117708,0.04,c4d5,-5,21.14,1
NegaScout,pos_1,opening,7,2211924,500.11,4423848,0.02,c4d5,-40,7.02,1
MCTS,pos_1,opening,17,644818,1033.20,624218,485.00,c4d5,1,0.00,0
Classic MCTS,pos_1,opening,12,8740,503.13,17375,500.01,c1a3,16,0.00,0
Pure Alpha-Beta,pos_2,opening,6,1859688,503.05,3697192,0.03,g1e2,75,9.27,1
Full Alpha-Beta,pos_2,opening,13,1265847,500.14,2531694,0.04,b1c3,25,4.73,0
MTD(f),pos_2,opening,6,1155125,501.66,2305638,0.18,b1c3,75,41.84,0
NegaScout,pos_2,opening,6,1929290,501.30,3850878,0.02,g1e2,75,8.95,1
MCTS,pos_2,opening,17,569658,523.08,1089212,485.00,b1c3,74,0.00,0
Classic MCTS,pos_2,opening,13,15655,528.56,29649,500.00,f1c4,20,0.00,0
Pure Alpha-Beta,pos_3,opening,7,2056287,500.96,4112574,0.01,d2d4,85,7.13,1
Full Alpha-Beta,pos_3,opening,12,1114190,501.59,2223932,0.02,d2d4,88,2.87,1
MTD(f),pos_3,opening,6,1253412,501.39,2501820,0.18,b1c3,115,10.50,0
NegaScout,pos_3,opening,7,1945686,500.37,3891372,0.01,d2d4,85,6.69,1
MCTS,pos_3,opening,17,658159,573.15,1148619,485.00,b1c3,79,0.00,0
Classic MCTS,pos_3,opening,13,13231,500.66,26462,500.01,g2g4,8,0.00,0
Pure Alpha-Beta,pos_4,opening,6,2134067,500.40,4268134,0.05,g4e2,50,7.10,1
Full Alpha-Beta,pos_4,opening,12,1126573,501.89,2248648,0.09,g4h4,20,3.24,2
MTD(f),pos_4,opening,6,1171515,501.20,2338353,0.18,g4e2,50,12.24,1
NegaScout,pos_4,opening,7,2093152,501.04,4177948,0.05,g4e2,10,6.33,1
MCTS,pos_4,opening,17,695463,543.99,1280779,485.00,g4f4,53,0.00,0
Classic MCTS,pos_4,opening,13,13417,501.52,26780,500.41,a2a3,22,0.00,0
Pure Alpha-Beta,pos_5,opening,6,2121766,500.17,4243532,0.01,g1f3,50,8.72,0
Full Alpha-Beta,pos_5,opening,14,1241260,501.30,2477564,0.01,g1f3,30,2.78,2
MTD(f),pos_5,opening,6,1089574,500.47,2179148,0.09,g1f3,50,17.29,0
NegaScout,pos_5,opening,7,2175114,500.34,4350228,0.01,g1f3,5,7.41,0
MCTS,pos_5,opening,17,587311,520.35,1129444,485.00,d2d4,23,0.00,0
Classic MCTS,pos_5,opening,13,13901,501.22,27746,500.01,f2f3,4,0.00,0
Pure Alpha-Beta,pos_6,opening,7,2584680,500.20,5169360,0.01,b1c3,-15,8.92,2
Full Alpha-Beta,pos_6,opening,13,1200228,502.13,2390892,0.01,e2e4,0,3.26,1
MTD(f),pos_6,opening,6,1065031,501.06,2125810,0.05,e2e4,30,9.96,1
NegaScout,pos_6,opening,7,2576467,500.32,5152934,0.01,b1c3,-15,7.88,2
MCTS,pos_6,opening,17,609785,519.57,1174922,485.00,b1c3,17,0.00,0
Classic MCTS,pos_6,opening,13,13669,502.09,27229,500.00,g2g4,14,0.00,0
Pure Alpha-Beta,pos_7,opening,6,2400320,501.58,4791057,0.01,b1c3,75,10.30,0
Full Alpha-Beta,pos_7,opening,14,1216751,500.33,2433502,0.01,d2d4,60,3.63,1
MTD(f),pos_7,opening,6,1081423,500.29,2162846,0.14,b1c3,75,16.00,0
NegaScout,pos_7,opening,6,2592818,500.32,5185636,0.01,b1c3,75,8.60,0
MCTS,pos_7,opening,18,623762,530.89,1176909,485.00,g1f3,65,0.00,0
Classic MCTS,pos_7,opening,13,13713,501.15,27371,500.01,d2d4,13,0.00,0
Pure Alpha-Beta,pos_8,opening,6,2211903,500.28,4423806,0.01,g1f3,25,9.02,1
Full Alpha-Beta,pos_8,opening,12,1179775,501.72,2354840,0.01,g1f3,-5,3.49,1
MTD(f),pos_8,opening,6,1097787,500.04,2195574,0.07,g1f3,25,14.20,1
NegaScout,pos_8,opening,7,2154587,501.37,4300572,0.01,a3h3,-10,7.93,2
MCTS,pos_8,opening,17,556618,516.76,1078717,485.00,d2d4,18,0.00,0
Classic MCTS,pos_8,opening,13,13405,501.35,26756,500.01,b2b4,13,0.00,0
Pure Alpha-Beta,pos_9,opening,6,2252859,500.42,4505718,0.01,b1c3,65,9.65,0
Full Alpha-Beta,pos_9,opening,12,1200314,500.86,2400628,0.02,e2e4,25,3.20,3
MTD(f),pos_9,opening,6,1138696,500.75,2277392,0.14,b1c3,65,12.84,0
NegaScout,pos_9,opening,7,2502767,500.16,5005534,0.01,b1c3,15,8.20,0
MCTS,pos_9,opening,18,635587,537.44,1183588,485.00,b1d2,51,0.00,0
Classic MCTS,pos_9,opening,13,13154,500.71,26308,500.01,f2f4,9,0.00,0
Pure Alpha-Beta,pos_10,opening,6,2125941,500.71,4251882,0.02,g1f3,35,10.10,3
Full Alpha-Beta,pos_10,opening,12,1159292,501.68,2313956,0.03,g1f3,-5,3.36,3
MTD(f),pos_10,opening,6,1392709,501.07,2779858,0.16,g1f3,35,24.34,3
NegaScout,pos_10,opening,6,1908895,500.63,3817790,0.02,g1f3,35,8.96,3
MCTS,pos_10,opening,17,547815,517.00,1061656,485.00,b1c3,20,0.00,0
Classic MCTS,pos_10,opening,13,13102,501.42,26151,500.01,a2a3,12,0.00,0
Pure Alpha-Beta,pos_11,opening,6,2269247,500.32,4538494,0.01,d2d4,79,10.04,2
Full Alpha-Beta,pos_11,opening,13,1138772,500.91,2277544,0.02,e2e4,57,3.09,3
MTD(f),pos_11,opening,6,1007630,500.91,2015260,0.22,e2e3,79,7.55,1
NegaScout,pos_11,opening,7,2187375,500.35,4374750,0.02,d2d4,45,8.30,2
MCTS,pos_11,opening,17,554983,513.75,1081838,485.00,d2d4,50,0.00,0
Classic MCTS,pos_11,opening,13,13035,501.39,26017,500.01,b2b4,8,0.00,0
Pure Alpha-Beta,pos_12,opening,6,1728548,500.16,3457096,0.01,b1c3,95,9.05,0
Full Alpha-Beta,pos_12,opening,13,1077470,500.83,2154940,0.01,b1c3,70,2.40,0
MTD(f),pos_12,opening,6,974915,500.74,1949830,0.14,b1c3,95,10.28,0
NegaScout,pos_12,opening,7,1704007,500.51,3408014,0.01,b1c3,60,7.27,0
MCTS,pos_12,opening,17,616458,522.62,1180954,485.00,g1f3,66,0.00,0
Classic MCTS,pos_12,opening,13,12248,501.62,24447,500.00,h2h4,20,0.00,0
Pure Alpha-Beta,pos_13,opening,6,2007066,500.93,4014132,0.01,b1c3,60,8.41,2
Full Alpha-Beta,pos_13,opening,14,1228916,500.03,2457832,0.01,g1f3,35,2.47,1
MTD(f),pos_13,opening,6,950325,501.38,1896856,0.10,g1f3,60,9.09,1
NegaScout,pos_13,opening,7,2179166,500.50,4358332,0.01,b1c3,30,7.49,2
MCTS,pos_13,opening,17,561355,511.76,1098542,485.00,g1f3,46,0.00,0
Classic MCTS,pos_13,opening,13,12987,501.04,25922,500.01,f2f3,12,0.00,0
Pure Alpha-Beta,pos_14,opening,6,2261042,500.79,4522084,0.02,e2e3,-40,8.16,2
Full Alpha-Beta,pos_14,opening,13,1204324,500.60,2408648,0.03,e2e4,-54,2.91,3
MTD(f),pos_14,opening,6,1138767,500.97,2277534,0.03,e2e3,-40,12.18,2
NegaScout,pos_14,opening,7,2261063,501.26,4513099,0.03,e2e3,-70,7.27,2
MCTS,pos_14,opening,18,607543,515.49,1179695,485.02,e2e3,-30,0.00,0
Classic MCTS,pos_14,opening,13,13257,501.23,26461,500.19,a2a4,12,0.00,0
Pure Alpha-Beta,pos_15,opening,6,2175029,500.32,4350058,0.02,g1f3,0,10.69,4
Full Alpha-Beta,pos_15,opening,12,1114323,501.62,2224197,0.02,g1f3,0,2.85,6
MTD(f),pos_15,opening,6,1413172,501.17,2820702,0.06,g1f3,0,19.65,4
NegaScout,pos_15,opening,6,2211932,500.20,4423864,0.01,g1f3,0,9.88,4
MCTS,pos_15,opening,17,589620,515.40,1144893,485.04,d2d4,-6,0.00,0
Classic MCTS,pos_15,opening,13,12973,500.60,25946,500.00,g1f3,10,0.00,0
